Date, Open, High, Low, Close, Volume
05/01/20, 262.14, 262.85, 258.74, 259.82, 4790654
04/30/20, 268.08, 268.58, 265.23, 267.10, 7386574
04/29/20, 267.98, 271.00, 266.91, 269.45, 6773125
04/28/20, 267.48, 267.79, 262.30, 262.68, 5849521
04/27/20, 262.01, 264.91, 261.57, 263.90, 3892216
04/24/20, 258.00, 260.70, 255.94, 260.14, 4770195
04/23/20, 257.75, 260.8999, 256.20, 256.42, 7665377
04/22/20, 255.83, 258.23, 254.475, 256.47, 5634160
04/21/20, 254.25, 255.49, 250.00, 250.95, 6526061
04/20/20, 259.65, 263.10, 258.58, 258.86, 6498713
04/17/20, 262.31, 264.00, 259.50, 263.61, 6738790
04/16/20, 256.514, 257.2999, 253.40, 256.53, 6165690
04/15/20, 255.08, 256.90, 253.11, 255.24, 4888851
04/14/20, 258.24, 261.63, 257.21, 260.92, 6631120
04/13/20, 254.64, 254.9487, 249.3766, 253.19, 7666366
04/09/20, 255.12, 258.3899, 253.14, 255.67, 8812596
04/08/20, 246.24, 253.05, 244.05, 251.93, 6958583
04/07/20, 251.92, 252.80, 243.455, 243.66, 12936590
04/06/20, 236.96, 245.30, 235.93, 243.53, 7556710
04/03/20, 230.43, 232.71, 225.3412, 228.02, 5490162
04/02/20, 225.335, 232.18, 224.72, 231.44, 6547009
04/01/20, 227.92, 231.05, 224.13, 226.15, 13710140
03/31/20, 239.45, 241.94, 235.44, 236.82, 10386300
03/30/20, 234.92, 241.10, 232.97, 240.39, 8727846
03/27/20, 232.70, 239.64, 230.661, 232.86, 11170600
03/26/20, 229.272, 241.44, 228.85, 240.24, 12411130
03/25/20, 225.00, 235.51, 220.32, 226.62, 11876360
03/24/20, 216.39, 224.30, 214.83, 223.75, 13160770
03/23/20, 209.63, 210.7799, 200.55, 204.27, 14128150
03/20/20, 222.80, 224.563, 210.05, 210.74, 11533250
03/19/20, 218.43, 226.00, 212.11, 220.34, 12441160
03/18/20, 216.08, 224.74, 208.31, 220.15, 20177500
03/17/20, 223.75, 233.95, 216.60, 232.88, 15115490
03/16/20, 222.85, 234.77, 218.1444, 218.57, 17271539
03/13/20, 240.66, 247.78, 228.10, 247.64, 19533609
03/12/20, 234.94, 243.675, 225.81, 226.48, 24669260
03/11/20, 256.66, 257.72, 247.62, 250.73, 11518410
03/10/20, 260.48, 263.81, 250.00, 263.81, 10879060
03/09/20, 253.89, 260.99, 251.15, 252.11, 16425910
03/06/20, 269.32, 274.46, 266.60, 273.19, 6669112
03/05/20, 280.30, 283.41, 275.61, 277.85, 6219956
03/04/20, 281.23, 287.645, 278.70, 287.48, 5253926
03/03/20, 284.34, 288.3197, 273.36, 276.04, 9805876
03/02/20, 274.00, 284.04, 270.49, 283.87, 12428630
02/28/20, 265.32, 272.92, 262.25, 271.74, 23324080
02/27/20, 280.57, 284.4795, 273.36, 273.39, 14897040
02/26/20, 288.61, 292.28, 285.48, 286.07, 10284670
02/25/20, 297.73, 298.23, 286.36, 287.34, 8465834
02/24/20, 296.96, 299.378, 295.17, 296.24, 7096975
02/21/20, 308.30, 308.58, 305.62, 306.49, 2678575
02/20/20, 310.35, 311.187, 306.67, 309.70, 4617280
02/19/20, 310.42, 311.59, 310.12, 310.92, 2257545
02/18/20, 309.24, 309.82, 308.0332, 309.43, 3002985
02/14/20, 310.11, 310.33, 309.00, 310.28, 1637209
02/13/20, 308.60, 310.72, 308.36, 309.76, 2043427
02/12/20, 309.56, 310.27, 309.17, 310.06, 2115750
02/11/20, 308.93, 309.69, 307.605, 308.08, 2438848
02/10/20, 304.39, 307.56, 304.35, 307.52, 2246940
02/07/20, 305.83, 306.59, 304.74, 305.33, 2249279
02/06/20, 306.80, 307.08, 305.81, 306.89, 1925534
02/05/20, 305.40, 306.08, 303.87, 305.85, 3049942
02/04/20, 301.50, 303.225, 301.16, 302.43, 2292773
02/03/20, 297.12, 299.67, 297.0348, 297.84, 3266697
01/31/20, 300.44, 300.60, 294.72, 295.69, 6184691
01/30/20, 298.04, 301.29, 297.30, 301.09, 4432657
01/29/20, 301.78, 301.935, 299.922, 300.15, 2752249
01/28/20, 298.70, 301.22, 298.2201, 300.45, 3562527
01/27/20, 296.84, 298.73, 296.45, 297.23, 4301999
01/24/20, 305.42, 305.52, 300.8086, 302.03, 3448207
01/23/20, 303.84, 304.97, 302.664, 304.81, 2673069
01/22/20, 305.31, 305.92, 304.32, 304.51, 2765293
01/21/20, 304.08, 305.22, 304.00, 304.43, 2757878
01/17/20, 304.77, 305.20, 304.20, 305.06, 2218062
01/16/20, 302.94, 304.04, 302.71, 304.03, 2582603
01/15/20, 300.81, 302.30, 300.69, 301.51, 2822336
01/14/20, 300.89, 301.91, 300.32, 300.84, 2620725
01/13/20, 299.91, 301.32, 299.48, 301.24, 2738733
01/10/20, 300.74, 300.86, 298.79, 299.26, 3667003
01/09/20, 299.73, 300.19, 299.09, 300.12, 2173883
01/08/20, 296.71, 299.31, 296.47, 298.06, 3724359
01/07/20, 296.82, 297.27, 296.0611, 296.53, 2384732
01/06/20, 294.42, 297.42, 294.35, 297.35, 2782110
01/03/20, 295.22, 297.36, 295.04, 296.24, 3248060
01/02/20, 297.29, 298.45, 296.34, 298.42, 3149761
12/31/19, 294.53, 295.99, 294.17, 295.80, 2512719
12/30/19, 296.75, 296.84, 294.5103, 295.04, 2349611
12/27/19, 297.51, 297.51, 296.149, 296.67, 2225614
12/26/19, 295.56, 296.69, 295.52, 296.67, 2391589
12/24/19, 295.36, 295.40, 294.85, 295.16, 1305896
12/23/19, 295.49, 295.53, 294.99, 295.16, 2325251
12/20/19, 295.89, 296.76, 295.78, 296.30, 4985649
12/19/19, 293.78, 294.88, 293.75, 294.80, 2333488
12/18/19, 294.02, 294.22, 293.57, 293.58, 3295366
12/17/19, 293.99, 294.19, 293.50, 293.56, 3659229
12/16/19, 293.26, 294.11, 293.22, 293.50, 3142450
12/13/19, 291.09, 292.76, 290.30, 291.44, 3519558
12/12/19, 288.85, 292.1014, 288.61, 291.33, 3277393
12/11/19, 288.45, 289.08, 288.08, 288.79, 1836430
12/10/19, 288.31, 288.938, 287.35, 288.04, 1823558
12/09/19, 288.87, 289.52, 288.27, 288.31, 1480344
12/06/19, 288.58, 289.65, 288.5456, 289.19, 1609493
12/05/19, 286.83, 286.83, 285.29, 286.64, 1597255
12/04/19, 285.41, 286.70, 285.07, 286.11, 3189831
12/03/19, 283.52, 284.43, 282.10, 284.29, 3250267
12/02/19, 289.03, 289.03, 285.84, 286.30, 4422919
11/29/19, 289.25, 289.48, 288.48, 288.65, 1988460
11/27/19, 289.06, 289.78, 288.7599, 289.76, 1640995
11/26/19, 287.91, 288.68, 287.57, 288.40, 1802937
11/25/19, 286.60, 287.84, 286.57, 287.82, 2048149
11/22/19, 285.75, 285.86, 284.60, 285.65, 1266929
11/21/19, 285.52, 285.64, 284.165, 285.02, 2311352
11/20/19, 285.91, 286.4197, 283.89, 285.46, 2826599
11/19/19, 287.24, 287.24, 285.875, 286.47, 3299986
11/18/19, 286.18, 286.85, 285.71, 286.61, 2288428
11/15/19, 285.64, 286.43, 285.00, 286.43, 1892548
11/14/19, 283.64, 284.40, 282.99, 284.31, 2251206
11/13/19, 282.83, 284.3163, 282.59, 283.93, 1729194
11/12/19, 283.58, 284.72, 283.03, 283.81, 1737575
11/11/19, 282.43, 283.371, 282.24, 283.25, 1125769
11/08/19, 282.74, 283.80, 282.00, 283.80, 2329606
11/07/19, 283.46, 284.23, 282.58, 283.11, 2695973
11/06/19, 282.04, 282.34, 281.12, 282.11, 1458275
11/05/19, 282.58, 282.8198, 281.71, 281.96, 3003725
11/04/19, 282.79, 282.90, 281.96, 282.32, 3803528
11/01/19, 280.05, 281.21, 279.91, 281.20, 2367883
10/31/19, 279.35, 279.35, 277.15, 278.55, 2313622
10/30/19, 278.69, 279.69, 277.38, 279.45, 1819408
10/29/19, 278.32, 279.43, 278.1844, 278.47, 1599619
10/28/19, 278.22, 279.07, 278.22, 278.65, 1802458
10/25/19, 275.33, 277.54, 275.28, 277.04, 5502238
10/24/19, 276.38, 276.505, 275.05, 275.89, 2222151
10/23/19, 274.41, 275.48, 274.179, 275.44, 1298691
10/22/19, 276.09, 276.33, 274.52, 274.63, 1602697
10/21/19, 275.05, 275.72, 274.57, 275.60, 3018431
10/18/19, 274.36, 274.9671, 272.81, 273.69, 1154897
10/17/19, 275.24, 275.72, 274.185, 274.82, 3103315
10/16/19, 274.07, 274.73, 273.62, 274.08, 1153444
10/15/19, 272.87, 275.25, 272.77, 274.51, 1793824
10/14/19, 271.79, 272.45, 271.48, 271.88, 1216514
10/11/19, 272.10, 274.35, 271.94, 272.13, 2811812
10/10/19, 267.42, 270.20, 267.25, 269.32, 1575089
10/09/19, 267.04, 268.437, 266.39, 267.50, 1967625
10/08/19, 267.28, 268.0193, 264.96, 265.03, 2159834
10/07/19, 269.56, 271.16, 268.90, 269.21, 1828719
10/04/19, 267.45, 270.56, 267.355, 270.37, 1908861
10/03/19, 264.35, 266.73, 261.59, 266.67, 2995139
10/02/19, 267.73, 267.73, 263.2501, 264.57, 4471676
10/01/19, 273.44, 274.08, 269.09, 269.32, 3729072
09/30/19, 271.82, 273.265, 271.7929, 272.60, 2736186
09/27/19, 273.56, 273.59, 269.723, 271.26, 2838430
09/26/19, 273.34, 273.55, 271.35, 272.79, 2355716
09/25/19, 273.08, 275.08, 271.60, 274.63, 2650739
09/24/19, 276.31, 276.675, 272.06, 272.96, 5128098
09/23/19, 274.59, 275.8997, 274.33, 275.24, 1298102
09/20/19, 277.18, 277.41, 274.50, 275.05, 2063030
09/19/19, 277.00, 277.98, 276.23, 276.53, 2272858
09/18/19, 276.00, 276.68, 273.95, 276.59, 2030540
09/17/19, 275.46, 276.48, 275.34, 276.42, 1791361
09/16/19, 275.38, 276.10, 275.04, 275.67, 1432383
09/13/19, 277.21, 277.54, 276.1542, 276.58, 2292208
09/12/19, 276.71, 277.80, 275.94, 276.65, 2433713
